tweetid,content,polarity
768225400254111744,yo soy totalmente puntual,NONE
770077064833671168,hola sandra no le habia deseado un feliz dia de la madre tarde pero seguro sabe usted si juno ha tomado mas fotos,P
771207534342320128,si andan haciendo eso mejor se quedaran calladita jaja pero así se están quemando ellas mismas e insinuando que son unas metidas,N
771900763987513345,que pereza quiero choco banano,N
772550560998301697,bueno no es tanto lo mayor como cuánto de campo sea usted sos cartaguito en cada aspecto de tu vida por lo visto,N
772594807357124608,pasé todo el día buscando mi baby lips y lo acabo de encontrar estaba en la mesita de noche de fijo lo puse ahí dormida,NEU
772264329433509888,el de halcon de terminal se ve mortal y los de mary jo bang se fueron volando pero todavía quedan en duluth hay de salido,P
771140523562143744,ahorita me van a cambiar las ligas de los brackett tengo alfajores argentinos en mi bulto tengo hambre qué hago no puedo esperar más,NONE
773525753082187776,el amor es paciente es bondadoso no es envidioso ni orgulloso no es egoísta no guarda rencor corintios buen día a todos,P
774595982600253441,el amanecer respirando o puro es más que un regalo más si es a las am frente al mar preparando la mente con meditación,P
774723515995914240,acabo de ver una hamaca con un piercing de mota en el ombligo lo peor es que tiene cara de que lo que fuma es jamón,N
773655374796759041,hacha se si tiene un hace rato era de cambiarlo haha yo creo que si aguanta el mio bastantito casi año ya,NEU
774256876787671040,acabo de ver a una compañera de trabajo y me sentí tentado a saludarla con la trompa del carro a 150kmph intencionalmente,N
774803451830087680,ah si gracias esas son las que he encontrado hasta ahora antes en pricesmart las vendían hace años pero ya no,NONE
774852457209880576,buenas noches papas que descansen,P
774865746639728640,me faltan mil colores la única manera de hacer toda la entrada de metallica es literal pichaseandome esta semana trabajar horas,N
773360298472329216,alvarado velando por mi salud,NONE
773378686301016065,nunca hacen nada hasta que exista según ellos más evidencia o sea aparecer más de veces al día en tu casa no es válido,N
775116236912984064,me alegra muchísimo que te gustara igualmente un placer saludarte la próxima que vengas a sj aviso con tiempo y vamos por café,P
768160329486495744,hoy tengo preguntas existenciales por qué hoy esta haciendo tanto frío y porque me volvió a dar hipo después de tantos años,NONE
768203766898233345,aquí en chupe dónde consigo un buen sartén de hierro vi unos en universal marca gibson q ni siquiera aparecen en internet,NONE
769270495971770368,nunca dije lo contrario,NONE
769305893976485888,a mí me dan ganas de volarlo pero me acuerdo de que mi pelo es un desmadre y me lo dejo querido,N
769344454088019968,pobre bastian scheweisteinger lo que le está pasando en el united es muy crack y el genio de you no lo quiere,P
769339737043677186,esta la mejor de las suertes disfruta la noche disfruta del grande saludos desde costa rica buena vida pura vida,P
757258941210382340,mae mañana llego a las cuidado te quedas dormida porque a las estoy ahí llena se quedó dormida y no ha llegado,N
757247192050446337,mi familia va para la playa y yo por irresponsable tengo que quedarme haciendo los extra clases que tengo para el martes,NONE
757252258127941632,matt cómodo años él ha sido parte del tourjunto con las bicis y las camisas amarilla muchas gracias,P
