tweetid,content,polarity,augmented,from_lang
768225400254111744,yo soy totalmente puntual,NONE,0,none
770077064833671168,hola sandra no le habia deseado un feliz dia de la madre tarde pero seguro sabe usted si juno ha tomado mas fotos,P,0,none
771207534342320128,si andan haciendo eso mejor se quedaran calladita jaja pero así se están quemando ellas mismas e insinuando que son unas metidas,N,0,none
771900763987513345,que pereza quiero choco banano,N,0,none
772550560998301697,bueno no es tanto lo mayor como cuánto de campo sea usted sos cartaguito en cada aspecto de tu vida por lo visto,N,0,none
772594807357124608,pasé todo el día buscando mi baby lips y lo acabo de encontrar estaba en la mesita de noche de fijo lo puse ahí dormida,NEU,0,none
772264329433509888,el de halcon de terminal se ve mortal y los de mary jo bang se fueron volando pero todavía quedan en duluth hay de salido,P,0,none
771140523562143744,ahorita me van a cambiar las ligas de los brackett tengo alfajores argentinos en mi bulto tengo hambre qué hago no puedo esperar más,NONE,0,none
773525753082187776,el amor es paciente es bondadoso no es envidioso ni orgulloso no es egoísta no guarda rencor corintios buen día a todos,P,0,none
774595982600253441,el amanecer respirando o puro es más que un regalo más si es a las am frente al mar preparando la mente con meditación,P,0,none
774723515995914240,acabo de ver una hamaca con un piercing de mota en el ombligo lo peor es que tiene cara de que lo que fuma es jamón,N,0,none
773655374796759041,hacha se si tiene un hace rato era de cambiarlo haha yo creo que si aguanta el mio bastantito casi año ya,NEU,0,none
774256876787671040,acabo de ver a una compañera de trabajo y me sentí tentado a saludarla con la trompa del carro a 150kmph intencionalmente,N,0,none
774803451830087680,ah si gracias esas son las que he encontrado hasta ahora antes en pricesmart las vendían hace años pero ya no,NONE,0,none
774852457209880576,buenas noches papas que descansen,P,0,none
774865746639728640,me faltan mil colores la única manera de hacer toda la entrada de metallica es literal pichaseandome esta semana trabajar horas,N,0,none
773360298472329216,alvarado velando por mi salud,NONE,0,none
773378686301016065,nunca hacen nada hasta que exista según ellos más evidencia o sea aparecer más de veces al día en tu casa no es válido,N,0,none
775116236912984064,me alegra muchísimo que te gustara igualmente un placer saludarte la próxima que vengas a sj aviso con tiempo y vamos por café,P,0,none
768160329486495744,hoy tengo preguntas existenciales por qué hoy esta haciendo tanto frío y porque me volvió a dar hipo después de tantos años,NONE,0,none
768203766898233345,aquí en chupe dónde consigo un buen sartén de hierro vi unos en universal marca gibson q ni siquiera aparecen en internet,NONE,0,none
769270495971770368,nunca dije lo contrario,NONE,0,none
