,tweetid,content,polarity,augmented,from_lang
0,768225400254111744,yo ser totalmente puntual,NONE,0,none
1,770077064833671168,hola sandra no le habia desear uno feliz dia de lo madre tardar pero seguro saber tú si juno haber tomar mas foto,P,0,none
2,771207534342320128,si andar hacer ese mejor se quedar calladita jaja pero asir se estar quemar ellos mismo e insinuar que ser uno metida,N,0,none
3,771900763987513345,que pereza querer chocar banano,N,0,none
4,772550560998301697,bueno no ser tanto el mayor comer cuánto de campar ser tú sos cartaguito en cada aspecto de tu vida por el vestir,N,0,none
5,772594807357124608,pasar todo el día buscar mi baby lips y el acabar de encontrar estar en lo mesita de noche de fijar el poner ahí dormir,NEU,0,none
6,772264329433509888,el de halcon de terminal se ver mortal y lo de mary jo bang se ser volar pero todavía quedar en duluth haber de salir,P,0,none
7,771140523562143744,ahorita me ir a cambiar los ligar de lo brackett tener alfajor argentino en mi bulto tener hambre qué hacer no poder esperar más,NONE,0,none
8,773525753082187776,el amor ser paciente ser bondadoso no ser envidioso ni orgulloso no ser egoísta no guardar rencor corintio bueno día a todo,P,0,none
9,774595982600253441,el amanecer respirar o puro ser más que uno regalar más si ser a los am frente al mar preparar lo mente con meditación,P,0,none
10,774723515995914240,acabar de ver uno hamaca con uno piercing de mota en el ombligo el peor ser que tener caro de que el que fumar ser jamón,N,0,none
11,773655374796759041,hachar se si tener uno hacer rato ser de cambiarlo haha yo creer que si aguantar el mio bastantito casi año ya,NEU,0,none
12,774256876787671040,acabar de ver a uno compañero de trabajar y me sentir tentar a saludarla con lo trompa del carro a 150kmph intencionalmente,N,0,none
13,774803451830087680,ah si gracia ese ser los que haber encontrar hasta ahora antes en pricesmart los vender hacer año pero ya no,NONE,0,none
14,774852457209880576,bueno noche papar que descansar,P,0,none
15,774865746639728640,me faltar mil colorir lo único manera de hacer todo lo entrar de metallica ser literal pichaseandome este semana trabajar hora,N,0,none
16,773360298472329216,alvarado velar por mi salud,NONE,0,none
17,773378686301016065,nunca hacer nadar hasta que existir según ellos más evidenciar o ser aparecer más de vez al día en tu casar no ser válido,N,0,none
18,775116236912984064,me alegrar muchísimo que te gustar igualmente uno placer saludarte lo próximo que venir a sj avisar con tiempo y ir por café,P,0,none
19,768160329486495744,hoy tener preguntar existencial por qué hoy este hacer tanto freír y porque me volver a dar hipar después de tanto año,NONE,0,none
20,768203766898233345,aquí en chupar dónde conseguir uno bueno sartén de herrar ver uno en universal marcar gibson q ni siquiera aparecer en internet,NONE,0,none
21,769270495971770368,nunca decir el contrario,NONE,0,none
22,769305893976485888,a mí me dar ganar de volarlo pero me acordar de que mi pelar ser uno desmadrar y me el dejar querer,N,0,none
23,769344454088019968,pobre bastian scheweisteinger el que le estar pasar en el united ser muy crack y el genio de you no el querer,P,0,none
24,769339737043677186,este lo mejor de los suerte disfrutar lo noche disfrutar del grande saludo desde costa rico bueno vida puro vida,P,0,none
25,757258941210382340,mae mañana llegar a los cuidar te quedo dormir porque a los estar ahí lleno se quedar dormir y no haber llegar,N,0,none
26,757247192050446337,mi familia ir parir lo playa y yo por irresponsable tener que quedarme hacer lo extra clase que tener parir el martes,NONE,0,none
27,757252258127941632,matt cómodo año él haber ser partir del tourjunto con los bicis y los camisa amarillo mucho gracia,P,0,none
28,757123970256605185,mejor me dormir bueno noche,NEU,0,none
29,757418118947872768,mi horario de este semestre ser tan tan feo que me tener que despedir de mi poco vida social y del estrenar de suicidar squad,N,0,none
30,756912334816186368,sabio que no ir a ser uno bueno día cuando me dejar el bus y se me romper lo fajar del bolso,N,0,none
31,756520939492302849,mas lo vida ser uno mierda estar feliz o no mejor sonreír y aprovechar el tiempo estar amargar no lo ir a hacer menos mierda,NEU,0,none
32,756650097102893056,que mal y por ese ser que estar jugar yo creer q lo jugador viejo o de lo casar deber tener prioridad pero bueno,N,0,none
33,756618178650923008,parce yo estar igual,NEU,0,none
34,756700943043928064,gracia a dios cerrar con broche de orar dios siempre dar el mejor a su hijo este semana ser mucho mejor que lo pasar thnksgod,P,0,none
35,756313579872096256,hola ser paular y ser partir de lo primero generación que ir a tener resolución de problema en bach de matar,NONE,0,none
36,756354568003457024,excelente cuando me dar el carro el molestar igual no conocer a nadie mas q hacer uber asi que el bono ser suyo,P,0,none
37,757793484468211713,acá tener pero ugh lo canelo no me gustar mucho ser que ser que me caer pesar pero se me quitar gracia kris,N,0,none
38,756184498606190592,yo solo querer dormir mas,N,0,none
40,775928256633581568,oír porque no me revivir a escobar pa que se poner interesante lo seriar eh jajaja ser en seriar,N,0,none
41,756194807630798853,el único senador q se dirigir en español a lo audiencia republicano parir apoyar a ser de padre costarricense qué penar,N,0,none
42,758066276388384768,el horario me quedar tan perfecto y tener tan bueno expectativa de lo profes que ya querer entrar a clase tan bichoraro el ser,P,0,none
43,755513187957518336,atf yo tener mi biblia firmar por el diablo kono pero ese ser el que se me venir a lo mente v,NONE,0,none
44,760675856326860800,sólo mi mamá lograr por primero vez uno cenar en paz con todo lo familia rodríguez qué feliz ser de tener lo madre que tener,P,0,none
45,760711448544837632,yo vivir a metro de lo basílico y salir a ver el jugar de polvora de este do día muy bonito nadaquehacer,P,0,none
46,759198767451025408,fijar estar demasiar hermoso,P,0,none
47,760357231913119744,ver looking queens as folk y asir me dar contar que nunca haber tener uno grupo de mejorar amigo gay alguien me adoptar,P,0,none
48,760177672525783040,recordar cuando le escribir a mi hermano parir que me motivar y me hacer sentir útil dios me dar a lo mejor hermano,P,0,none
49,760585615532437506,hoy iniciar lo concachampions pero realmente no importar porque no este lo en todo casar lo ir a seguir porque si,N,0,none
50,760090117587476480,bueno día iniciar de mes a darlo todo aunque ser más o menos bueno en algo feliz iniciar de semana,P,0,none
51,759229676669792257,llegar a lo casar a los caminar no haber comer todo estar dormir mañana tener clase a los sam todo este bien,N,0,none
52,760756300007477248,el terminar a los am hora costa rico porque se me hacer súper adictivo me gustar pero no me encantar lcshinyforflowers,P,0,none
53,761208380954337280,yo estar triste por rap,N,0,none
54,761702018197164032,fiesta bandera día de lo cerveza semana último día de experiencia y asir no querer que me ir de parranda,P,0,none
55,763031266169982977,este estupida de abi a lo par mío esperar a que sacar el desgraciar trailer de residente evil fuck hasta as md lo ir,P,0,none
56,762833657526497281,con aguar helar regularmente parir que se mantener fresco y uno poquito de azúcar a lo semana me haber durar hasta más de mes,P,0,none
57,763042513913544705,no encantar hacerte feliz,P,0,none
58,764523142995783680,en este época no haber que decirle no a ninguno trofeo y ser conmemorativo parir todo lo equipo que ganar en lo jornada,NEU,0,none
59,763092730163568640,yo ni se que le hacer me dejar de hablar de lo nadar y ni saber cuanto lo extrañar cha gracia,N,0,none
60,762980998762012672,y los emergencia lo gente que necesitar ir a hospital lo que esperar citar desde hacer año ahh no yo apoyar el parir nacional jiji,N,0,none
61,763162519582052352,entonces no ser indigente ni tener problema mental ese no justificar nadar lo lanzar comer muñeca a lo callar,N,0,none
62,765284549127442436,no ir a poder ver a mi mamá el día de lo madre por uno hijo de lo grandísima puto bien,N,0,none
63,764569008465072129,lo daniela me tener griselda,N,0,none
64,758120146607091712,totalmente el del físico se dejar atrás cuando el uno personar atractivo en todo sentir incluir su propuesta y cerebro,P,0,none
65,755603120034488320,cual ser tu helar favorito y comer comer te parecio costa rico cuando venir y a donde ser sigueme pi saludo bye,NONE,0,none
66,755006351793807360,acabar de preguntarle al mae de a lo par que parir donde ir pero no ser por vida esque estar demasiar perdido,NONE,0,none
67,755234728156864512,hoy estar participar mucho más mujer el que me alegrar mucho ya ser parir preguntar propio o parir hacer preguntar por su parejo,P,0,none
68,758395896094752768,aburrir sí haber vestir q lo motociclista andar especialmente violento le pegar a lo carro lo patear le gritar a lo gente y este,N,0,none
69,755966460355235840,el bueno ser que ir parir salamanca y caquita en uno girar el malo ser que ser el finde antes del examen de analítico,NEU,0,none
70,758632139751579649,no me querer levantar ayudar,N,0,none
71,758451150349664256,milímetro no querer hacer spoiler pero hoy ir a ver algo nuevo en el caballo pudrir ver en el nuevo video que subir en uno hora,NEU,0,none
72,766391854149623809,quizá parir profesional no ser muchopero haber no remunerar principalmente femenino parir quien ser uno soñar paso en mi país,N,0,none
73,767053112007733248,qué perfumar usar yo victoria secret x ah yo usar unir de pink que ser más caro que ese,N,0,none
74,766460456634425344,haber gente aficionar al fútbol haber fanático haber envenenar y haber otro hijueputa necio igual que todo en lo vida,N,0,none
75,767170856778928133,querer hacer uno preguntar si poder yay bueno lo preguntar ser ir o ir a uno joven en victoria,NONE,0,none
76,767154504647139328,tú también estar ay que triste nombre sí yo estar dormir parir ir a clase hoy a los 730 te extrañar bebé,N,0,none
77,767156227042226177,solo me quedar sábado más asir jiji qué día estar ir a lo u que no te haber vestir,NEU,0,none
78,761474790284595200,que feo ese de decepcionarte,N,0,none
79,762419931371622400,delicioso santo rafael ezcazu,P,0,none
80,761938992849838081,hahahaha no el haber vestir pero ojo me despertar a los y estar tratar de dormir no poder ser q ste despertar aun,NEU,0,none
81,761195957903953920,llegar tardar ser hugo fan lo empezar en el crecer con él subir y caer tener de todo comer todo seriar temporada favorito,P,0,none
82,762076127376515073,ser sincero mi rostro inocente y uno amigar no me podés abrir ser que perder los llave y mi roommate no contestar abrir,NONE,0,none
83,760726897819017216,yo también tener lo libro de amp y no me convencer yo pasar lo examen pero gracia a lo examen viejo,NEU,0,none
84,760715780732354561,yo solo los lucas,NONE,0,none
85,762534291255414784,cr hola querer agradecer al personal del starbucks de lo sabana por guardar mi cartero olvidar ser lo mejorar saludo,P,0,none
86,761372585900638208,buenísimo yo mañana ir a clase de de lo tardar que ser yoga danzar ser comer yoga pero aeróbic,P,0,none
87,777291543321260032,ya no estar parir mandarle sacar conversación a alguien si lo varar fluir bueno y sino ir pa lo mierda,N,0,none
88,777637901777514497,me cagar en lo puto,N,0,none
89,779066354758397954,el post que compartir no ir a poder estar tranquilo hasta que anunciar quién venir y ya estar pobre gar metallica,N,0,none
90,779085697554579456,saludo desde costa rico malayo q siempre te escribir y nunca me responder igual nunca me cansar de escucharte beso,NEU,0,none
91,778795757985865730,el chavo no estar triste,P,0,none
92,779475155022123008,c que triste ser lo realidad,N,0,none
93,779505704000364544,muy bueno chiquillo no haber que tirar piedra al techar del vecino si el tuyo ser de cristal feliz noche poli,P,0,none
94,778686044405321728,nadar más bonito que ir en bus llenar y que alguien comenzar a toser comer si se le ser a salir uno pulmón,N,0,none
95,777260686258819072,se ver feo en general,N,0,none
96,778387007831552000,jajaja yo me pegar el susto de lo vida y luego lo esperar por meterlo al taller de icon pero ya estar vivir,NEU,0,none
97,778399423256592384,tan lindo diana mucho gracia ir a ver cómo me acomodar ahora con trabajar nuevo costar uno montón yo te apoyar desde acá,NEU,0,none
98,778399123007569920,y ser año de acompañarnos ser mi edad y haber crecer de lo manir con vosotros mil gracia ante ale,P,0,none
99,779322857750827008,oops cierto me matar,N,0,none
100,779181319024619520,noto personal no ver videos de noche sobrar youtube comer no ver videos de noche sobrar youtube comer no ver videos de noche,N,0,none
101,779173176357982208,coser q deber usar parir simplificar nuestro vida el cerebro sentir común uno sonrisa y eliminar a quién no no interesar simple,P,0,none
102,779167291774685184,uno mil gracia por todo te prometer en lo siguiente año titular aunque me haber costar llegar hasta donde estar hoy,P,0,none
